sku,name,quantity,revenue,quantity_rank,value_rank,abc_class,avg_price,unit_cost,stock,gross_profit,gross_margin_percent,roi10_max_cpa_total_period,category,ads_score
C08BR,Carrinho Fechado Ferramentas C08 6 Gavetas Branco Fercar,1.0,1462.23,140,47,C,1462.23,895.12,0.0,567.11,38.78,56.71,ferramentas,5.39
JVTBPA32,Vaso Decorativo Planta Tribo Japi 43x32cm 32 Preto Ardósia,3.0,426.54,87,77,C,142.18,75.0,0.0,201.54,47.25,20.15,vasos,5.3
T12-AGL,Fechadura Digital T12 Bluetooth Chave Senha Preto Agl,1.0,959.4,131,59,C,959.4,550.0,0.0,409.4,42.67,40.94,outros,5.28
JVCDPA33,Vaso Decor Planta Cilin Decore 33 (16l) Preto ardosia Japi,2.0,573.64,95,70,C,286.82,155.0,0.0,263.64,45.96,26.36,vasos,5.27
SABATINI,"Astra, Assento Sanitário Almofadado - sabatini",12.0,1590.65,113,110,B,132.55,93.82,0.0,464.81,29.22,46.48,assentos,5.11
JVCDCQ33,Vaso Decor Plantas Cilin Decore 33 (16l) Cimento Queim Japi,2.0,535.69,101,74,C,267.85,155.0,0.0,225.69,42.13,22.57,vasos,4.85
PAPELEIRA-ADESIVA-ASTRA-BRANCA,Papeleira com Adesivo Branca Astra,2.0,80.46,94,119,C,40.23,23.0,0.0,34.46,42.83,3.45,outros,4.46
1C7Q-LKVY-TGBG,Chave Soquete Tipo T 13mm Aquatools,1.0,35.0,137,135,C,35.0,9.46,0.0,25.54,72.97,2.55,outros,4.38
1C7Q-LKVS-MDOC,Rodizio de Gel Giratório com freio 75mm rolamento Soprano,34.0,654.4,13,65,A,19.25,10.0,0.0,314.4,48.04,31.44,rodizios,4.16
VED90UN,Rodo Vedante Borracha Friso Porta Aluminio 90 Cm Vivaliz,15.0,376.0,68,114,A,25.07,10.0,0.0,226.0,60.11,22.6,vedantes,4.14
1C7Q-LKVY-UH7N,Chave Soquete Tipo T 10mm Hexagonal 25cm Aquatools,1.0,37.7,133,133,C,37.7,11.3,0.0,26.4,70.03,2.64,outros,4.09
CSD830FBA,Chave Liga/desliga/liga Margirius Csd-830 30a por Alavanca,1.0,124.36,138,111,C,124.36,80.0,0.0,44.36,35.67,4.44,outros,3.74
PCT-500,Pote Plástico 500ml Totalplast 24 Unidade Microondas Freezer,26.0,665.16,18,64,A,25.58,13.4,0.0,316.76,47.62,31.68,outros,3.73
VASOPLANTASJAPI,Vaso Plantas Decorativo Japi Unique 16 14x16cm Preto,1.0,20.8,145,145,C,20.8,7.0,0.0,13.8,66.35,1.38,vasos,3.71
VED-70,Rodo Vedante Borracha Friso Porta Aluminio 70cm Vivaliz,9.0,222.9,117,139,B,24.77,10.0,0.0,132.9,59.62,13.29,vedantes,3.64
V0210685,Massa para Calafetar Madeira F12 Ipe 400g Viapol,6.0,145.25,56,105,B,24.21,9.47,0.0,88.43,60.88,8.84,outros,3.53
V0210680,"Massa Paramadeira F-12 400G/0,225L Sucupira - Viapol",7.0,174.28,52,102,B,24.9,10.0,0.0,104.28,59.83,10.43,outros,3.51
REGUA5TOMADA,Tomada Barra Multipla Régua extensão 20A Quintupla CINZA,1.0,36.62,142,134,C,36.62,13.33,0.0,23.29,63.6,2.33,outros,3.45
C06BR,Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar,3.0,3273.34,108,32,B,1091.11,0.0,0.0,0.0,0.0,0.0,ferramentas,3.42
V0210636,Massa F12 para Calafetar Madeira 400g Imbuia Viapol,8.0,193.89,43,98,B,24.24,10.14,0.0,112.77,58.16,11.28,outros,3.41
JATOBADBA,Massa F12 para Calafetar Madeira 400g Jatoba Viapol,7.0,174.3,90,130,B,24.9,10.51,0.0,100.73,57.79,10.07,outros,3.3
1C7Q-LKWA-VXHL,Abraçadeira Fita Perfurada,1.0,39.0,127,131,C,39.0,15.0,0.0,24.0,61.54,2.4,outros,3.24
V0210643,Massa para Madeira F12 400g Cumaru Viapol,2.0,49.8,105,126,C,24.9,10.0,0.0,29.8,59.84,2.98,outros,3.13
