sku,name,stock,status
V0217760,"Massa F12 De Calafetar E Correção Madeira Viapol 400 Angelim",6,active
V0210680,"Massa F12 De Calafetar E Correção Madeira Viapol 40 Sucupira",3,active
V0210685,"Massa F12 De Calafetar E Correção Madeira Viapol 400G Co Ipê",11,active
V0210681,"Massa F12 De Calafetar E Correção Madeira Viapol 400G Branca",2,active
V0210643,"Massa F12 De Calafetar E Correção Madeira Viapol 400G Cumaru",10,active
V0210675,"Massa F12 De Calafetar E Correção Madeira Viapol 4 Cerejeira",4,active
JFQFAC77,"Vaso Decorativo Floreira Jardineira Polietileno 77X29CM",17,active
JFQFCQ77,"Vaso Cachepô Japi Floreira Flat 77 39L Cimento Queimado",18,active
JFQFE77,"Vaso Decorativo Floreira Flat 77 39 Chumbo Japi",10,active
JFQFPA77,"Vaso Floreira Jardineira Flat Polietileno 77X29X29CM Japi",6,active
JFQFAC57,"Cachepot Floreira Flat Vaso 57(6l) 15x57cm Aço Corten Japi",21,active
JFQFE57,"Vaso Cachepot Jardineira Floreira 57CM Japi Chumbo",15,active
JFQFCQ57,"Vaso Decorativo Jardineira Floreira 57CM Polietileno Japi",23,active
JVTBPA32,"Vaso Decorativo Tribo 43X32CM Preto Ardósia - Japi 10 Anos",1,active
KIT2RODOVEDADORALUMINIO,"Kit 2 Rodo Vedante Borracha Friso Porta Aluminio 100cm",255,active
JFQFCQ67,"Vaso Floreira Flat 67 17L - Japi Cimento Queimado",11,active
V0210636,"Massa F12 De Calafetar E Correção Madeira Viapol 400G Imbuia",6,active
COR5,"Caixa De Correio Vertical Com Trava Para Grade De Embutir",1,active
VUNA16,"Vaso Plantas Unique 16 Azul - Japi",10,active
TH-05,"Trena 5MX19MM Halten TH-05",1,active
VED90UN,"Rodo Vedante Borracha Friso Porta Aluminio 90 Cm Vivaliz",1432,active
ved-80-nh,"Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz",1420,active
RODOVED100,"Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz",511,active
ved-70,"Rodo Vedante Borracha Friso Porta Aluminio 70cm Vivaliz",1557,active
178970678530,"Mini Cofre Porta Moedas Segredo Em Aço 10X8X12CM Fe variadas",576,active
Sabatini,"Assento Sanitário Almofadado Sabatini Astra",36,active
COM1,"Comedor Cães Gatos Automático Comedouro Fercar 2,5KG",15,active
COM2,"Comedor Cães Gatos Automático Comedouro Fercar 5KG",33,active
COM3,"Comedouro Automático Para Cães E Gatos 10KG Com Regulagem",55,active
JFQFPA67,"Cachepot Floreira Flat Vaso 67(17l) 22x67cm Preto Ardósia Japi",6,active
JFQFAC67,"Vaso Floreira Flat 67 17L - Japi Aço Corten",15,active
JFQFE67,"Cachepot Floreira Vaso Flat 67 Japi 22X66CM 17L Cor Chumbo",8,active
C08TVM,"Carrinho Fechado Ferramentas C08 6 Gavetas Td Vermelho Fercar",3,active
C08AZ,"Carrinho Fechado Ferramentas C08 6 Gavetas Azul Cinza Fercar",1,active
C08BR,"Carrinho Fechado Ferramentas C08 6 Gavetas Branco Fercar",5,active
C08TPT,"Carrinho Fechado Ferramentas C08 6 Gavetas Todo Preto Fercar",7,active
C08VM,"Carrinho Fechado Ferramentas C08 6 Gavetas Vermelh Cza Fercar",6,active
C08PT,"Carrinho Fechado Ferramentas C08 6 Gavetas Preto Cinza Fercar",6,active
PCT-250,"Marmita Descartável 250ml Totalplast Freezer Microonda 24un",1438,active
PCT-500,"Pote Plástico 500ml Totalplast 24 Unidade Microondas Freezer",1385,active
AH-2UC1-6SIO,"Sifão Multissifão Tubo Extensível - Krona",5,active
9C-M51D-ITZ7,"Maçarico portátil culinário a gás MELFI",2,active
Pote500,"Pote Marmita Fit Retangular Com Tampa 500ml 144un Totalplast",230,active
Potr250,"Pote Marmita Fit Retangular C Tampa 250ml Cx144un Totalplast",239,active
JVAQMA44,"Vaso Decorativo Plantas Antique 44 70L Macchiato Japi",5,active
JVAQAC44,"Vaso Decorativo Plantas Antique 44 70L Aço Corten Japi",3,active
JVAQCQ56,"Vaso Decorativo Plantas Antique 56 (46l) Cimento Queim Japi",4,active
JVAQAC56,"Vaso Decorativo Plantas Antique 56 Aço Corten Japi",1,active
JCMCCQ35,"Vaso Match 35 Japi 16L Cimento Queimado Com Prato 29CM",1,active
JVAQCQ55,"Vaso Decorativo Plantas Antique 55 (75l) Cimento Queim Japi",1,active
KIT-DISCO,"Kit 10 Disco Corte Inox Esmerilhadeira 4.1/2 1.0mm Aquatools",3,active
JV-8HKB-IBHR,"Aquatools Torneira Esfera Zincada, 1/2 X 3/4, Uso Geral",2,active
TVT/K-NOVO-02,"Assento Sanitário Almofadado Avant/Fit/Versato/Angra Branco Astra",18,active
ADGANBR,"Gancho Adesivo Multiuso Banheiro Cozinha Astra",80,active
ADSABBR,"Saboneteira Comadesivo Astra Branco Fixação Rapida - Branco",11,active
ADPS*BR,"Prateleira Shampoo Adesivo Banheiro Astra Branco",11,active
REGUA5TOMADA,"Tomada Barra Multipla Régua extensão 20A Quintupla CINZA",3,active
FITAPERFAFBA,"Abraçadeira Fita Perfurada 19mm x 10 Metros Aço Galvanizado",2,active
kit4rod35freio,"Kit 4 Rodízio Giratório Gel Silicone Rodinha 35mm Com Trava",103,active
SAB-PR-FBA-ONSITE,"Saboneteira com Adesivo Preto Fosco Astra",10,active
C06BR,"Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar",5,active
C06CZ,"Carrinho Fechado Ferramentas C06 3 Gavetas Cinza Fercar",2,active
SKU-343577002,"Chave Teste 140MM 100/500V",1,active
348942357,"Aquatools Machadinha Cabo Fibra Profissional 600 Gramas",1,active
JVCDE33,"Vaso Cilíndrico Plantas Decore 33 Japi Chumbo Prato Planta",2,active
KIT2RODOALUMINIOBORRACHA,"Kit 2 Rodo Vedante Borracha Friso Porta Aluminio 80cm",710,active
TTO/PP*BR1,"Assento Sanitario Astra Talento Oval Branco TTO/PP BR1",265,active
JFQFPA57,"Vaso Decorativo Jardineira Floreira 57cm Polietileno Japi Preto Ardosia Lisa",26,active
kit-70,"Kit 2 Rodo Vedante Borracha Friso Porta Aluminio 70cm",259,active
kit-vedant-90,"Kit 2 Rodo Vedante Borracha Friso Porta Aluminio 90 Cm",358,active
23543,"STRETCH MANUAL 500X25 C/3 KG - RL",1,active
TTH-K*BCO-01,"Assento Sanitário Almofadado Thema/Hawaii/Arezzon/Valentina Branco Astra",41,active
